map_name,star_level,map_description,best_record
人鱼岛探险,4,悠扬婉转的歌声唤醒沉睡的记忆，人鱼的传说讲述着童话的唯美，海盗章鱼占领的破旧之船，是沉入海底的冒险梦想，海底的漩涡不断吞噬着深海未知的迷茫，坐在贝壳屋里的人鱼公主，正等待着你的到来，一段关于人鱼岛的奇幻探险就此打开。,99999
西湖,4,烟雨蒙蒙，小亭清荷迷离了圈点；柔云连连，春风十里拂动了思念；断桥湖畔，水光潋滟梦醒了眷恋。听一场春雨，静游一段西湖于心间。,99999
长城,4,层层梯田，蜿蜒的长城起伏在翠绿的群山，守卫相伴，时光流转孕育春的希望；烽火四起，雪雾弥漫，苍劲的长城起伏在茫茫的青原，白雪描绘冬的宁静。,99999
1号公路,4,岩壁为卷，风沙如笔，刻画摄人心魄；风光似画，茂密绿林，点染幽静殊美；陡峭高耸，碧波万顷，漂移挥洒自如；秀美小镇，西部风情，涂鸦随我情调；海滨公路 ，加州风情，乐享万里晴空。1号公路，畅快漂移。,99999
王者峡谷,4,大唐鼎盛，岁月为棋，机关防御塔守护最后的信仰，华美而威严的凤鸟雕塑下跳动的是勇者们内心的荣耀。最初的极速荣耀能否重新拾起，王者峡谷，全军出击！,99999
秋之物语,4,蓝天白云下的你追我赶，海岸线边上的极限漂移，吹拂秋日沁爽的海风，和旋转的风车一起领略秋的风采。,99999
莫高窟,5,穿越荒芜的沙漠，无数的旅人沿着通幽曲径探寻而来，只为一睹莫高窟的珍奇与辉煌——千姿百态的壁画、惊为天人的泥质彩塑、庄严的佛像、寓意深远的藏经，蕴藏着求道之人历代的祝福和期许。,99999
反向亚特兰蒂斯,5,摇曳的海藻是漂移的方向，极速驶过紧窄的隧道，潜入神秘的海底世界，和鱼儿一起冲刺徜徉。,99999
霍比特之旅,5,青葱草木下的漂移，引擎声在密道内回响，映照在长湖里的影子，体验一段奇幻的霍比特之旅！,99999
秋名山,5,崎岖的山路描绘最唯美的极速风光，曲折的弯道体现最惊险的激情体验，速度之间的较量，同你狂飙。,99999
西部矿山,5,引擎的轰鸣同火车一起喧嚣，在铁轨上疾驰追逐，在隧道里极限漂移，感受西部风情的热情无畏。,99999
美洲大峡谷,6,越过红沙峭壁，感受峡谷蜿蜒崎岖；在空中走廊漂移，俯瞰大自然的鬼斧神工；穿梭丛林秘境，挑战极速心跳。,99999
