car_name,car_level,car_charmingvalue,car_description,car_price
NOBEL,B,15,搭载强力发动机和三台总输出功率超高的电动机，创新运用新动能系统，使该车在多弯道处有不凡表现。,50000
卓越,B,15,歼击机的流线造型，绚丽的外型使它在万中无一中独领优越抓地力极强，是冲刺型极品赛车。,50000
天使之翼,B,15,车轮能根据路面情况向内倾斜20度，大大提高转弯时的动力，拥有跑车情结的你，肯定会对它一见钟情。,50000
大黄蜂,B,15,本款赛车从造型上更多的倾向与雷克塞斯最新款概念车，自身设计以大气为主，采用C-3冲程设计。,50000
剃刀,B,15,超薄流线车身设计，无愧“剃刀”之名始终保持蓄势待发，涡轮式喷口使它在速度上有明显优势。,50000
南瓜车,C,10,真实的再现了南瓜造型，俏皮而不失风格，是万圣节特有的纪念车，让你在节日中体验更多刺激与乐趣。,10000
刺客,C,10,扁平车身，斜尾翼，腹体进气，两个不规则形喷口，这辆车上有很多飞行器设计的影子。,10000
爱神之心,C,10,永恒不变的海蓝色车身，寓意着它是充满浪漫气息的情侣车。,10000
挑战者,C,10,神罗公司昔日的经典设计，简单的机械结构创造出耐用的品质和低廉的维护成本。,10000
爱神之吻,C,10,永恒不变的玫瑰红车身，作为女生钟爱车型与情侣男车一同亮相，毫不逊色。,10000
甜心号,C,10,大车灯，DDB引擎组的设计，让该车有足够的表现效果，率先抢占复古风尚流。,10000
积木,C,10,积木采用了复古的赛车外型，将空气阻力降到最小，在高速行驶中有如贴地飞行的利剑。,10000
小哈,C,10,顽皮的造型和灵巧的速度受到赛车手喜爱轮胎采用高密度胶胎材质，即便在雪地赛道也能飞快行驶。,10000
新手赛车,D,0,免费提供的新手赛车，曾获得过QQ speed设计大奖，采用后轮驱动，发动机中置，动力输出平稳均衡。,0
